Player,Country,CareerBatImpact,CareerBowlImpact,MatchesPlayed,TotalImpact,BatImpactperGame,BatImpactperGame_Z,BowlImpactperGame,BowlImpactperGame_Z,TotalImpactperGame,TotalImpactperGame_Z
CJ Jordan ,ENG,62.94512794,262.5542781,91,325.499406,0.691704703,-0.056762323,2.885211847,0.883665197,3.57691655,0.826902874
LS Livingstone ,ENG,143.0352294,54.70833333,56,197.7435627,2.554200525,1.030326771,0.976934524,-0.153482842,3.531135049,0.876843929
Sikandar Raza ,ZIM,145.9783903,127.154902,78,273.1332922,1.871517824,0.631863102,1.630191051,0.201561845,3.501708875,0.833424948
SC Williams ,ZIM,111.4244053,88.68333333,58,200.1077386,1.921110436,0.660808986,1.529022989,0.14657704,3.450133425,0.807386026
MG Bracewell ,NZL,35.60443168,88.3,36,123.9044317,0.989011991,0.116768005,2.452777778,0.648637435,3.441789769,0.765405441
LM Jongwe ,ZIM,26.71128282,121.2814229,43,147.9927057,0.621192624,-0.097918341,2.820498208,0.848493357,3.441690831,0.750575016
Mohammad Ashraful ,BAN,54.76248335,17.275,21,72.03748335,2.607737303,1.061574759,0.822619048,-0.237353248,3.43035635,0.824221511
BA Stokes ,ENG,82.96602841,63.79821429,43,146.7642427,1.929442521,0.665672202,1.483679402,0.121932817,3.413121923,0.787605019
Abdul Razzaq ,PAK,42.9959655,65.13809524,32,108.1340607,1.343623922,0.323745523,2.035565476,0.4218827,3.379189398,0.745628223
JA Morkel ,RSA,94.08349421,65.50833333,48,159.5918275,1.960072796,0.683550276,1.364756944,0.057298504,3.324829741,0.74084878
DM de Silva ,SL,78.52254867,57.64615385,41,136.1687025,1.915184114,0.65734995,1.406003752,0.079716129,3.321187866,0.737066079
R Ravindra ,NZL,49.05704994,33.5,25,82.55704994,1.962281998,0.684839728,1.34,0.043843114,3.302281998,0.728682841
SM Curran ,ENG,52.09808733,140.6370047,59,192.735092,0.883018429,0.054902393,2.383678045,0.611081756,3.266696474,0.665984148
RL Chase ,WI,66.12395031,61.125,39,127.2489503,1.695485905,0.52911797,1.567307692,0.167384763,3.262793598,0.696502733
S Prasanna ,SL,28.90311147,35.80833333,20,64.71144481,1.445155574,0.383006838,1.790416667,0.28864441,3.23557224,0.671651248
GJ Delany ,IRE,72.00649911,79.73722944,47,151.7437285,1.532053172,0.433726647,1.696536797,0.237620734,3.228589969,0.671347381
Wahab Riaz ,PAK,14.6547619,100.6601967,36,115.3149586,0.40707672,-0.222892079,2.796116575,0.835241948,3.203193294,0.612349869
MM Ali ,ENG,152.8082863,125.2261905,87,278.0344768,1.756417084,0.564681873,1.4393815,0.097856923,3.195798584,0.662538796
Faheem Ashraf ,PAK,59.66351939,137.2488095,62,196.9123289,0.962314829,0.101185584,2.213690476,0.518693573,3.176005305,0.619879157
RS Bopara ,ENG,70.22419695,44.01136364,36,114.2355606,1.950672137,0.678063362,1.222537879,-0.019997507,3.173210016,0.658065855
KA Pollard ,WI,232.861981,85.05833333,101,317.9203144,2.305564169,0.885204367,0.842161716,-0.226731815,3.147725885,0.658472553
DJG Sammy ,WI,83.20652134,123.7575302,66,206.9640515,1.260704869,0.275347885,1.875114093,0.334677431,3.135818962,0.610025316
KMA Paul ,WI,12.44770854,56.21587809,22,68.66358663,0.565804934,-0.130246657,2.555267186,0.704340392,3.12107212,0.574093735
