Ground,AvgBatImpact,AvgBowlImpact,BattingScale,BowlingScale,BattingScale2,BowlingScale2
Mount Maunganui,2.313947428,2.716850721,0.108923873,-0.318426484,0.536326091,0.373567457
Nagpur,1.560794897,3.296607828,-0.795800168,0.521507501,0.382474529,0.522694844
Nairobi (Gym),2.561378875,2.9375,0.406150754,0.001243299,0.586870586,0.430323726
Napier,2.234790036,3.047829316,0.013836101,0.161084965,0.520156075,0.458703064
Nelson,2.892441648,2.754398148,0.803839717,-0.264028944,0.654499018,0.383225553
New York,-0.032710886,5.152209691,-2.709998062,3.209845509,0.056958323,1
North Sound,1.350021235,3.277179682,-1.048991906,0.49336061,0.339418367,0.51769746
Nottingham,2.515143068,2.681172668,0.350610017,-0.370115732,0.577425685,0.364390209
Paarl,1.882013393,3.233102767,-0.409936636,0.429503352,0.448092004,0.506359824
Pallekele,2.467061158,2.700818763,0.292851651,-0.341653083,0.567603668,0.369443654
Perth,1.728395864,3.15071747,-0.594469603,0.310146108,0.416711512,0.485168356
Port of Spain,0.906100142,4.232405743,-1.582251861,1.877262285,0.248735602,0.763404437
Potchefstroom,2.530490584,2.781714876,0.369046212,-0.224453322,0.580560826,0.390252068
Providence,1.467625516,2.836217958,-0.907719832,-0.14549096,0.363442189,0.404271564
Pune,1.902706833,3.506019852,-0.385078654,0.824897099,0.452319193,0.576560622
Queenstown,3.094320221,2.056225296,1.046346235,-1.27551996,0.69573812,0.203638806
Raipur,1.681769676,4.351515152,-0.650479284,2.049824275,0.407186865,0.794042224
Rajkot,2.597491929,2.595872219,0.449531538,-0.493696358,0.594247644,0.342448894
Ranchi,1.906298869,2.499794823,-0.380763722,-0.632890287,0.453052962,0.317735492
Rawalpindi,2.564682105,2.141111523,0.410118757,-1.152539447,0.587545359,0.225473573
Roseau,2.280632838,3.554057018,0.06890474,0.894491844,0.529520694,0.588916929
Sharjah,1.516357797,3.601178725,-0.849180208,0.962760301,0.373397062,0.601037759
Southampton,2.288792721,2.901035976,0.078706795,-0.05158464,0.531187569,0.420944307
St George's,2.697518213,2.526525553,0.569688054,-0.594163641,0.61468069,0.324611274
Sydney,2.122689844,3.000695638,-0.12082419,0.092799165,0.49725661,0.446579155
Sylhet,2.564904885,2.725825753,0.410386372,-0.305423738,0.587590868,0.37587605
Tarouba,2.008642567,2.989367208,-0.257823414,0.076386889,0.473959402,0.443665212
Taunton,2.838747198,2.961363636,0.739339291,0.035816189,0.64353049,0.436462024
The Oval,1.988179639,2.677406694,-0.282404495,-0.375571758,0.469779301,0.36342151
Thiruvananthapuram,2.344893384,2.68859127,0.146097684,-0.359367893,0.542647631,0.366298451
Visakhapatnam,1.845522337,3.015140064,-0.453771495,0.113725797,0.440637729,0.450294606
W.A.C.A,1.827247501,3.588041126,-0.475724131,0.943726958,0.436904605,0.597658454
Wankhede,3.629707999,2.181299364,1.689480492,-1.094316558,0.805105403,0.235810846
Wellington,2.227917498,2.88124045,0.005580468,-0.080263779,0.518752175,0.415852425
