"Date","Player","Country","Runs","NotOut","Minutes","BallsFaced","Fours","Sixes","StrikeRate","Innings","Participation","Opposition","Ground"
2022-01-26,"R Powell ","West Indies",107,FALSE,71,53,4,10,201.88679245283,1,"B","England","Bridgetown"
2024-11-08,"SV Samson ","India",107,FALSE,75,50,7,10,214,1,"B","South Africa","Durban"
2025-07-13,"Musaddiq Ahmed ","GER",107,FALSE,NA,53,10,9,201.88679245283,1,"B","Malawi","Blantyre"
2019-09-28,"P Khadka ","NEP",106,TRUE,NA,52,7,9,203.846153846154,2,"B","Singapore","Singapore"
2022-10-02,"DA Miller ","South Africa",106,TRUE,79,47,8,7,225.531914893617,2,"B","India","Guwahati"
2025-02-04,"Sheikh Rasik ","HUN",106,TRUE,NA,38,5,12,278.947368421053,2,"B","Malta","Marsa"
2015-10-02,"RG Sharma ","India",106,FALSE,79,66,12,5,160.606060606061,1,"B","South Africa","Dharamsala"
2022-05-12,"Dylan Steyn ","CZK-R",106,FALSE,NA,55,17,2,192.727272727273,1,"B","Bulgaria","Marsa"
2019-08-29,"S Periyalwar ","ROM",105,TRUE,57,40,12,6,262.5,1,"B","Turkey","Ilfov County"
2023-07-30,"Ahmed Faiz ","MAS",105,TRUE,NA,50,9,6,210,1,"B","Myanmar","Kuala Lumpur"
