"Player","Country","CareerBatImpact","CareerBowlImpact","MatchesPlayed","TotalImpact","BatImpactperGame","BatImpactperGame_Z","BowlImpactperGame","BowlImpactperGame_Z","TotalImpactperGame","TotalImpactperGame_Z"
"AD Hales ","ENG",306.639127661944,0,74,306.639127661944,4.14377199543167,1.95519888869371,0,-0.687008106444826,4.14377199543167,1.26819078224889
"AD Mascarenhas ","ENG",6.06302910052909,35.0916666666667,14,41.1546957671958,0.433073507180649,-0.206426791982045,2.50654761904762,0.666782597549174,2.93962112622827,0.460355805567129
"AD Mathews ","SL",175.291659321818,140.96413192071,87,316.255791242529,2.01484665887147,0.715017371838958,1.62027737839897,0.188106507815619,3.63512403727044,0.903123879654577
"AD Poynter ","IRE",7.94068627450981,0,7,7.94068627450981,1.1343837535014,0.202113606373659,0,-0.687008106444826,1.1343837535014,-0.484894500071167
"AD Russell ","WI",176.303504144605,74.6193780856823,82,250.922882230287,2.15004273347079,0.793774324931684,0.909992415679052,-0.195519628951058,3.06003514914984,0.598254695980626
"ADS Fletcher ","WI",84.7238321494051,0,59,84.7238321494051,1.43599715507466,0.37781510207347,0,-0.687008106444826,1.43599715507466,-0.309193004371356
"AF Milne ","NZL",-16.7983044733045,189.179703410624,54,172.38139893732,-0.311079712468601,-0.639924882717395,3.50332784093748,1.20514531927249,3.19224812846888,0.565220436555094
"AG Cremer ","ZIM",-25.9351731601732,109.858333333333,28,83.9231601731602,-0.926256184291899,-0.998289019240791,3.9235119047619,1.43208745883099,2.99725572047001,0.433798439590196
"AG Prince ","RSA",-1.04166666666667,0,1,-1.04166666666667,-1.04166666666667,-1.0655200980553,0,-0.687008106444826,-1.04166666666667,-1.75252820450013
"AJ Finch ","AUS",475.936768021487,-6.1,102,469.836768021487,4.6660467453087,2.25944417169832,-0.0598039215686274,-0.719308307911877,4.60624282374007,1.54013586378644
"AJ Hall ","RSA",0.675,9.65,2,10.325,0.3375,-0.262102063947166,4.825,1.91898273814681,5.1625,1.65688067419964
"AJ Hosein ","WI",12.3552627970585,207.308333333333,74,219.663596130391,0.16696301077106,-0.361446469478793,2.80146396396396,0.826067425481279,2.96842697473502,0.464620956002486
"AJ Ireland ","ZIM",-1.33333333333333,1.45,1,0.116666666666668,-1.33333333333333,-1.23542723517786,1.45,0.0961394012562862,0.116666666666668,-1.13928783392158
"AJ McKay ","NZL",-3.75,8.42272727272727,2,4.67272727272727,-1.875,-1.55096906126263,4.21136363636364,1.58755667689398,2.33636363636364,0.0365876156313549
"AJ Redmond ","NZL",18.218315018315,5.96470588235294,7,24.183020900668,2.60261643118786,1.05741604372968,0.852100840336134,-0.226786968914297,3.454717271524,0.830629074815379
"AJ Strauss ","ENG",5.76607142857143,0,4,5.76607142857143,1.44151785714286,0.381031124987688,0,-0.687008106444826,1.44151785714286,-0.305976981457139
"AJ Turner ","AUS",-7.16476023976024,16.95,19,9.78523976023976,-0.377092644197907,-0.678379973836917,0.892105263157895,-0.205180510962654,0.515012618959987,-0.883560484799571
"AJ Tye ","AUS",-2.51689282939282,131.013175230566,31,128.496282401174,-0.0811900912707362,-0.50600526880224,4.22623145905053,1.59558681364032,4.14504136777979,1.08958154483808
"AK Kitchen ","NZL",7.08859649122806,6.975,5,14.0635964912281,1.41771929824561,0.367167542096693,1.395,0.0664338061365887,2.81271929824561,0.433601348233282
"AK Markram ","RSA",217.665067026623,27.0500000000001,56,244.715067026623,3.88687619690398,1.80554712983661,0.483035714285715,-0.426119681773458,4.36991191118969,1.37942744806315
"AK Perera ","SL",2.32954545454545,-4.8,6,-2.47045454545455,0.388257575757575,-0.232533808915447,-0.8,-1.11908949000406,-0.411742424242425,-1.35162329891951
"AL Phehlukwayo ","RSA",-7.55561497326203,131.244078947368,42,123.688463974106,-0.179895594601477,-0.563505049907959,3.12485902255639,1.00073365592233,2.94496342795491,0.437228606014366
"AM Blignaut ","ZIM",0.05,0,1,0.05,0.05,-0.429581956253695,0,-0.687008106444826,0.05,-1.11659006269852
"AM Ellis ","NZL",0.508333333333332,0.883333333333351,5,1.39166666666668,0.101666666666666,-0.399484120534841,0.17666666666667,-0.59159013424216,0.278333333333337,-0.991074254777001
"AM Fernando ","SL",3.05833333333332,4.325,7,7.38333333333333,0.436904761904761,-0.204194937621721,0.617857142857143,-0.353302395035239,1.0547619047619,-0.55749733265696
"AM Hardie ","AUS",22.1304822291235,28.9083333333333,14,51.0388155624569,1.58074873065168,0.462138504817259,2.06488095238095,0.428237667042513,3.64562968303263,0.890376171859772
"AM McCarthy ","WI",-1.5625,0.7,1,-0.8625,-1.5625,-1.36892570005988,0.7,-0.308936895830496,-0.8625,-1.67786259589038
"AM Phangiso ","RSA",-3.86447368421052,60.2,16,56.3355263157895,-0.241529605263158,-0.599409249796786,3.7625,1.3451246506072,3.52097039473684,0.745715400810413
"AM Rahane ","IND",35.8278820306038,0,20,35.8278820306038,1.79139410153019,0.584847597094134,0,-0.687008106444826,1.79139410153019,-0.102160509350692
"AN Cook ","ENG",7.0014880952381,0,4,7.0014880952381,1.75037202380952,0.560950646976406,0,-0.687008106444826,1.75037202380952,-0.126057459468421
"AN Petersen ","RSA",-1.64047619047619,0,2,-1.64047619047619,-0.820238095238095,-0.936529373545922,0,-0.687008106444826,-0.820238095238095,-1.62353747999075
"AP Devcich ","NZL",16.1189340813464,7.04999999999998,4,23.1689340813464,4.02973352033661,1.88876705729294,1.7625,0.26492119170911,5.7922335203366,2.15368824900205
"AR Adams ","NZL",0.425,2.875,4,3.3,0.10625,-0.396814151237201,0.71875,-0.298809988403327,0.825,-0.695624139640527
"AR Cusack ","IRE",2.5688145188145,64.8583333333334,18,67.4271478521479,0.142711917711917,-0.375573671057439,3.60324074074074,1.2591084492505,3.74595265845266,0.88353477819306
"AR McBrine ","IRE",-3.51570512820513,7.275,14,3.75929487179487,-0.251121794871795,-0.604997071997267,0.519642857142857,-0.406348100606127,0.268521062271062,-1.01134517260339
"AR Nurse ","WI",12.4513888888889,22.15,12,34.6013888888889,1.03761574074074,0.145742488614103,1.84583333333333,0.3099296691632,2.88344907407407,0.455672157777302
"AR Patel ","IND",74.4421516431597,217.680072463768,69,292.122224106927,1.07887176294434,0.169775720459861,3.15478365889518,1.01689600376204,4.23365542183953,1.1866717242219
"AR White ","IRE",4.19920634920635,0,6,4.19920634920635,0.699867724867726,-0.0510088203429624,0,-0.687008106444826,0.699867724867726,-0.738016926787789
"AS Joseph ","WI",4.76600782258678,130.202603917821,41,134.968611740408,0.116244093233824,-0.390992204598932,3.17567326628832,1.02817851684259,3.29191735952214,0.637186312243654
"AT Carey ","AUS",4.28903235137754,0,38,4.28903235137754,0.112869272404672,-0.392958168525958,0,-0.687008106444826,0.112869272404672,-1.07996627497078
"AT Rayudu ","IND",-5.10817307692308,0,6,-5.10817307692308,-0.85136217948718,-0.954660358861317,0,-0.687008106444826,-0.85136217948718,-1.64166846530614
"AU Rashid ","ENG",-27.6105614973262,412.929761904761,122,385.319200407435,-0.226316077846936,-0.590546780463669,3.38467017954722,1.14105811114323,3.15835410170029,0.550511330679562
"AY Patel ","NZL",-4.125,44.65,7,40.525,-0.589285714285714,-0.801990660885604,6.37857142857143,2.75806935354086,5.78928571428572,1.95607869265525
"Aamer Jamal ","PAK",8.34074675324675,-2.99264705882355,5,5.3480996944232,1.66814935064935,0.513052753251115,-0.59852941176471,-1.01027487686506,1.06961993888464,-0.497222123613949
