"","Ground","AvgBatImpact","AvgBowlImpact","BattingScale","BowlingScale","BattingScale2","BowlingScale2"
"1","Abu Dhabi",1.64788992863222,3.26950179722201,-0.662784962515841,0.494092982724019,0.40026601994242,0.515722524687756
"2","Adelaide",2.56349058378693,2.55704328651085,0.429889100245047,-0.553613856485654,0.587301959324325,0.332461164817953
"3","Ahmedabad",3.27423046694273,2.49743450086587,1.27808315878121,-0.641271637897919,0.732489603035401,0.317128360235997
"4","Auckland",2.53265146714753,2.82335914115271,0.393085825061019,-0.161982711508907,0.581002244358105,0.400963968760654
"5","Basseterre",1.4021835105464,3.31972945618581,-0.956009993084305,0.567955335440299,0.35007390784626,0.528642279236824
"6","Belfast",1.95718185420349,3.13917017297802,-0.293677248371625,0.302433634098326,0.463447173774913,0.48219811542896
"7","Bengaluru",2.31127894713042,2.56767690313639,0.128900768542204,-0.537976576985705,0.53578098222637,0.33519638520459
"8","Birmingham",2.11364189019358,3.58546865119899,-0.106958483785204,0.958738472809903,0.495408323695878,0.596996752538309
"9","Bloemfontein",3.75708721179259,1.30275362318841,1.85432241566273,-2.3981112396402,0.831126016575998,0.00982788033144517
"10","Brabourne",4.00364635938742,1.56503189792663,2.14856509012629,-2.01241756332344,0.881492321497229,0.0772921222068845
"11","Bready",1.90883179080837,3.0972771271915,-0.351378015520771,0.240827758210822,0.453570379262624,0.471422222623267
"12","Bridgetown",1.98240173543593,3.1109064515506,-0.263579945651869,0.260870379823389,0.468599009513402,0.474928010649664
"13","Brisbane",2.24916271148271,2.87645993557635,0.0547715079453794,-0.0838952655050894,0.523092078587181,0.41462276243066
"14","Bristol",2.93390966095972,2.64183959156786,0.871945706146159,-0.428916533887523,0.662969969907262,0.354272801485989
"15","Bulawayo",1.87947095110577,2.88174248902684,-0.386417121077656,-0.0761269992897804,0.447572641926044,0.415981561454557
"16","Canberra",2.20958717271672,2.76214787801913,0.00754222246383907,-0.251997018387908,0.515007715575895,0.385218968662318
"17","Cape Town",2.39010230728767,2.6381128882559,0.222968242935767,-0.434396842549624,0.551882763203973,0.353314204309434
"18","Cardiff",2.21757645906995,2.82388473775875,0.0170766039968735,-0.161209794699667,0.516639741142559,0.401099164771815
"19","Carrara",1.21444429636343,3.48008821676118,-1.18005720050595,0.803771130544356,0.311723148608763,0.569890385741643
"20","Centurion",3.37488184145387,2.09370279620473,1.39820009588734,-1.23497984942176,0.753050340160026,0.21327891482071
"21","Chattogram",2.13713036011463,2.92232807995201,-0.0789274402159658,-0.0164438029402414,0.500206472333707,0.426421145615947
"22","Chennai",3.2867789368262,2.33558201058201,1.29305845122099,-0.879284039271656,0.735052963862249,0.275496030743396
"23","Chester-le-Street",2.061635008452,3.25357142857143,-0.169023282935551,0.470666557275487,0.484784526163516,0.511624853064437
"24","Christchurch",2.24554295092253,2.98272156747005,0.050451700554191,0.0723679228867219,0.52235264561179,0.441955794277504
"25","Colombo (PSS)",0.519898857793971,4.02291666666667,-2.00892487536088,1.60202825139182,0.169843653640178,0.709518839062241
"26","Colombo (RPS)",1.72363867165385,3.14271745948221,-0.572386723588748,0.307650101127913,0.415739728079572,0.4831105623137
"27","Coolidge",1.49233125209689,3.11103896103896,-0.848428048429579,0.26106524183308,0.368488996814499,0.474962095257635
"28","Cuttack",1.09808382464488,3.59671500179019,-1.31892130972396,0.975276809082688,0.287953407933857,0.599889582747971
"29","Dallas",-0.311540068119015,5.05416666666667,-3.00116067598006,3.11853435201583,0,0.974780990506105
"30","Dambulla",1.78272221413184,3.59687780443688,-0.50187666656959,0.97551621873786,0.427809122970422,0.599931459480403
"31","Dehradun",2.50343943239285,2.66635330983157,0.358224302718063,-0.392867851903615,0.575034904414826,0.360578315809889
"32","Delhi",2.80383749726805,2.23844098883572,0.716718120022317,-1.0221349019132,0.636399249160675,0.250509037849456
"33","Dharamsala",3.22630702250191,1.78352978178998,1.22089151694058,-1.69110520080009,0.722699956862757,0.133495001003997
"34","Dubai (DICS)",1.58510340664197,3.23216786200534,-0.737714140081921,0.439191513132373,0.387440192377908,0.506119344103572
"35","Dublin",2.97490265068748,2.42742998801351,0.920866571785966,-0.744216870200291,0.671343885214813,0.299121526112363
"36","Dublin (Malahide)",2.19492666622944,2.76214587100663,-0.0099535657877418,-0.251999969802893,0.512012914745176,0.385218452410726
"37","Dunedin",3.12137374127916,2.07697568389058,1.09566456994466,-1.25957792735653,0.701264525689321,0.208976301681418
"38","Durban",2.24376940634319,2.79461511267012,0.0483351597346901,-0.204252281981974,0.521990351663479,0.393570317525304
"39","East London",2.26995399459904,2.875,0.0795837398554694,-0.0860421757674407,0.527339254631371,0.414247232101495
"40","Eden Gardens",1.88289320986321,3.33785571665105,-0.38233301152699,0.594610932605916,0.448271729872195,0.533304786726416
"41","Geelong",1.81026274721927,3.89791666666667,-0.469009907453792,1.41820933010406,0.433435013961309,0.677365851008439
"42","Gqeberha",1.47272796040676,3.55886172650878,-0.871822536249079,0.919611623247195,0.364484499815071,0.590152815484608
"43","Greater Noida",3.11498979113423,2.66213235294118,1.08804599005173,-0.399074985842774,0.699960433009175,0.359492584798109
"44","Gros Islet",2.48320941406244,2.45021651323403,0.334081881899151,-0.710708114312828,0.570902381725115,0.304982765097988
"45","Guwahati",4.58377929232308,1.26454613095238,2.84089335049116,-2.4542973197037,1,0
"46","Gwalior",2.24270955082016,3.16144307525382,0.0470703325048588,0.335187081060597,0.521773847806428,0.487927238315336
"47","Hambantota",0.917845548194716,3.4716913377193,-1.53401692885121,0.791423088563053,0.251134915986912,0.56773050772946
"48","Hamilton",3.40923831121706,2.05082417582418,1.43920096584841,-1.29803506337904,0.760068568641873,0.202249508669835
"49","Hangzhou",0.545599554925865,3.35852801120448,-1.97825376892076,0.625010603688742,0.175093708894913,0.538622195044984
"50","Harare",1.7640474518432,3.03421608027117,-0.524163051213536,0.148093249249459,0.423994302952845,0.455201413916953
"51","Hobart",2.25989188019861,2.71010716446288,0.0675756538411338,-0.328525561019552,0.525283798457922,0.371832853132034
"52","Hyderabad",4.46154899052538,1.4143378556422,2.69502421015593,-2.23402089370117,0.975031189428535,0.0385300122760812
"53","Indore",3.40377104123165,2.24436507936508,1.4326763482943,-1.01342322246747,0.758951732418767,0.252032855545616
"54","Jaipur",2.30205627705628,2.58257575757576,0.117894471940429,-0.516067046173955,0.533897005023847,0.339028726715026
"55","Johannesburg",2.60846092689644,2.56529401438288,0.483556523081164,-0.541480737307451,0.596488355511855,0.33458344925559
"56","Kanpur",2.61762614500249,2.55027910685806,0.494494256740099,-0.563560930143042,0.598360596612224,0.330721256117393
"57","Karachi",2.94105194512607,2.44958913652417,0.880469278746832,-0.711630703993212,0.664428972607691,0.304821388811128
"58","Khulna",2.26821702668241,3.11713768531303,0.077510849475083,0.270033729171401,0.526984432445374,0.476530832927454
"59","Kimberley",3.17277605830022,1.87361111111111,1.15700788403964,-1.55863597852827,0.711764824696661,0.156666072248261
"60","King City (NW)",0.626484262677732,3.59158002520479,-1.88172629077088,0.967725562228555,0.191616575289591,0.598568744021515
"61","Kingston",2.31037034914451,2.70485597273523,0.127816451436177,-0.336247708210358,0.535595376769605,0.370482121092937
"62","Kingstown",0.831101593897429,4.5384648135172,-1.6375368077726,2.36016828519956,0.233415141665702,0.842130146316998
"63","Lahore",2.29913670088373,2.79407380879008,0.114410261722755,-0.205048297144514,0.533300603449694,0.393431081227798
"64","Lauderhill",1.79962731773522,3.22153635103503,-0.48170218533511,0.423557330106609,0.431262442837555,0.503384665341795
"65","Leeds",1.92691728930059,4.48540843214756,-0.329794855872197,2.28214615087317,0.457264826378447,0.828482776746151
"66","Lord's",1.63871967845767,3.25546907430469,-0.673728701424659,0.473457142808885,0.39839275090738,0.512112972909173
"67","Lucknow",1.37838415855444,3.33243243243243,-0.984412042040612,0.586635714566684,0.345212253224852,0.531909788384867
"68","Manchester",2.4059579993553,2.6463832572247,0.241890360751958,-0.422234840129653,0.555121712677985,0.355441540906669
"69","Melbourne",1.56624529295685,3.22583130056981,-0.760219335529653,0.429873274030352,0.383587917930298,0.504489429030461
