Team 1,Team 2,Winner,Margin,Ground,Match Date,ID
Afghanistan,Kenya,Kenya,34 runs,Sharjah,11-Oct-13,332
India,Australia,India,6 wickets,Rajkot,10-Oct-13,331
Afghanistan,Kenya,Afghanistan,106 runs,Sharjah,30-Sep-13,330
England,Australia,England,27 runs,Chester-le-Street,31-Aug-13,329
England,Australia,Australia,39 runs,Southampton,29-Aug-13,328
Zimbabwe,Pakistan,Pakistan,19 runs,Harare,24-Aug-13,327
Zimbabwe,Pakistan,Pakistan,25 runs,Harare,23-Aug-13,326
Sri Lanka,South Africa,Sri Lanka,6 wickets,Hambantota,6-Aug-13,325
Sri Lanka,South Africa,South Africa,22 runs,Hambantota,4-Aug-13,324
Sri Lanka,South Africa,South Africa,12 runs,Colombo (RPS),2-Aug-13,323
West Indies,Pakistan,Pakistan,11 runs,Kingstown,28-Jul-13,322
West Indies,Pakistan,Pakistan,2 wickets,Kingstown,27-Jul-13,321
Scotland,Kenya,Scotland,7 wickets,Aberdeen,5-Jul-13,320
Scotland,Kenya,Scotland,35 runs,Aberdeen,4-Jul-13,319
England,New Zealand,no result,-,The Oval,27-Jun-13,318
England,New Zealand,New Zealand,5 runs,The Oval,25-Jun-13,317
Zimbabwe,Bangladesh,Bangladesh,34 runs,Bulawayo,12-May-13,316
Zimbabwe,Bangladesh,Zimbabwe,6 runs,Bulawayo,11-May-13,315
Kenya,Netherlands,Kenya,7 wickets,Windhoek,20-Apr-13,314
Kenya,Netherlands,Kenya,5 wickets,Windhoek,19-Apr-13,313
Sri Lanka,Bangladesh,Sri Lanka,17 runs,Pallekele,31-Mar-13,312
Canada,Kenya,Kenya,21 runs,ICCA Dubai,16-Mar-13,311
Canada,Kenya,Canada,5 wickets,ICCA Dubai,15-Mar-13,310
Afghanistan,Scotland,Afghanistan,7 wickets,Sharjah,4-Mar-13,309
West Indies,Zimbabwe,West Indies,41 runs,North Sound,3-Mar-13,308
Afghanistan,Scotland,Afghanistan,27 runs,Sharjah,3-Mar-13,307
South Africa,Pakistan,Pakistan,95 runs,Centurion,3-Mar-13,306
West Indies,Zimbabwe,West Indies,8 wickets,North Sound,2-Mar-13,305
New Zealand,England,England,10 wickets,Wellington,15-Feb-13,304
Australia,West Indies,West Indies,27 runs,Brisbane,13-Feb-13,303
New Zealand,England,New Zealand,55 runs,Hamilton,12-Feb-13,302
New Zealand,England,England,40 runs,Auckland,9-Feb-13,301
Australia,Sri Lanka,Sri Lanka,2 runs,Melbourne,28-Jan-13,300
Australia,Sri Lanka,Sri Lanka,5 wickets,Sydney,26-Jan-13,299
India,Pakistan,India,11 runs,Ahmedabad,28-Dec-12,298
South Africa,New Zealand,South Africa,33 runs,Gqeberha,26-Dec-12,297
India,Pakistan,Pakistan,5 wickets,Bengaluru,25-Dec-12,296
South Africa,New Zealand,New Zealand,8 wickets,East London,23-Dec-12,295
India,England,England,6 wickets,Wankhede,22-Dec-12,294
South Africa,New Zealand,South Africa,8 wickets,Durban,21-Dec-12,293
India,England,India,5 wickets,Pune,20-Dec-12,292
Bangladesh,West Indies,West Indies,18 runs,Mirpur,10-Dec-12,291
Sri Lanka,New Zealand,no result,-,Pallekele,30-Oct-12,290
Sri Lanka,West Indies,West Indies,36 runs,Colombo (RPS),7-Oct-12,289
Australia,West Indies,West Indies,74 runs,Colombo (RPS),5-Oct-12,288
Sri Lanka,Pakistan,Sri Lanka,16 runs,Colombo (RPS),4-Oct-12,287
India,South Africa,India,1 run,Colombo (RPS),2-Oct-12,286
Australia,Pakistan,Pakistan,32 runs,Colombo (RPS),2-Oct-12,285
Sri Lanka,England,Sri Lanka,19 runs,Pallekele,1-Oct-12,284
New Zealand,West Indies,tied,-,Pallekele,1-Oct-12,283
India,Pakistan,India,8 wickets,Colombo (RPS),30-Sep-12,282
Australia,South Africa,Australia,8 wickets,Colombo (RPS),30-Sep-12,281
Sri Lanka,West Indies,Sri Lanka,9 wickets,Pallekele,29-Sep-12,280
England,New Zealand,England,6 wickets,Pallekele,29-Sep-12,279
Australia,India,Australia,9 wickets,Colombo (RPS),28-Sep-12,278
Pakistan,South Africa,Pakistan,2 wickets,Colombo (RPS),28-Sep-12,277
England,West Indies,West Indies,15 runs,Pallekele,27-Sep-12,276
Sri Lanka,New Zealand,tied,-,Pallekele,27-Sep-12,275
Bangladesh,Pakistan,Pakistan,8 wickets,Pallekele,25-Sep-12,274
Ireland,West Indies,no result,-,Colombo (RPS),24-Sep-12,273
England,India,India,90 runs,Colombo (RPS),23-Sep-12,272
New Zealand,Pakistan,Pakistan,13 runs,Pallekele,23-Sep-12,271
Australia,West Indies,Australia,17 runs,Colombo (RPS),22-Sep-12,270
Sri Lanka,South Africa,South Africa,32 runs,Hambantota,22-Sep-12,269
Afghanistan,England,England,116 runs,Colombo (RPS),21-Sep-12,268
Bangladesh,New Zealand,New Zealand,59 runs,Pallekele,21-Sep-12,267
South Africa,Zimbabwe,South Africa,10 wickets,Hambantota,20-Sep-12,266
Afghanistan,India,India,23 runs,Colombo (RPS),19-Sep-12,265
Australia,Ireland,Australia,7 wickets,Colombo (RPS),19-Sep-12,264
Sri Lanka,Zimbabwe,Sri Lanka,82 runs,Hambantota,18-Sep-12,263
England,South Africa,England,28 runs,Birmingham,12-Sep-12,262
India,New Zealand,New Zealand,1 run,Chennai,11-Sep-12,261
England,South Africa,no result,-,Manchester,10-Sep-12,260
Australia,Pakistan,Australia,94 runs,Dubai (DICS),10-Sep-12,259
England,South Africa,South Africa,7 wickets,Chester-le-Street,8-Sep-12,258
Australia,Pakistan,tied,-,Dubai (DICS),7-Sep-12,257
Australia,Pakistan,Pakistan,7 wickets,Dubai (DICS),5-Sep-12,256
Sri Lanka,India,India,39 runs,Pallekele,7-Aug-12,255
Netherlands,Bangladesh,Netherlands,1 wicket,The Hague,26-Jul-12,254
Netherlands,Bangladesh,Bangladesh,8 wickets,The Hague,25-Jul-12,253
Bangladesh,Scotland,Scotland,34 runs,The Hague,24-Jul-12,252
Ireland,Bangladesh,Bangladesh,2 wickets,Belfast,21-Jul-12,251
Ireland,Bangladesh,Bangladesh,1 run,Belfast,20-Jul-12,250
Ireland,Bangladesh,Bangladesh,71 runs,Belfast,18-Jul-12,249
New Zealand,West Indies,West Indies,61 runs,Lauderhill,1-Jul-12,248
New Zealand,West Indies,West Indies,56 runs,Lauderhill,30-Jun-12,247
England,West Indies,England,7 wickets,Nottingham,24-Jun-12,246
Sri Lanka,Pakistan,Pakistan,23 runs,Hambantota,3-Jun-12,245
Sri Lanka,Pakistan,Sri Lanka,37 runs,Hambantota,1-Jun-12,244
West Indies,Australia,West Indies,14 runs,Bridgetown,30-Mar-12,243
South Africa,India,South Africa,11 runs,Johannesburg,30-Mar-12,242
West Indies,Australia,Australia,8 wickets,Gros Islet,27-Mar-12,241
Afghanistan,Ireland,Ireland,5 wickets,Dubai (DICS),24-Mar-12,240
Canada,Scotland,Scotland,4 wickets,Dubai (DICS),23-Mar-12,239
Ireland,Netherlands,Ireland,7 wickets,Dubai (DICS),23-Mar-12,238
Canada,Ireland,Ireland,10 wickets,Dubai (DICS),22-Mar-12,237
