Player,Country,CareerBatImpact,CareerBowlImpact,MatchesPlayed,TotalImpact,BatImpactperGame,BatImpactperGame_Z,BowlImpactperGame,BowlImpactperGame_Z,TotalImpactperGame,TotalImpactperGame_Z
RL Chase ,WI,38.55618715,60.53333333,29,99.08952048,1.329523695,0.329652335,2.087356322,0.422883441,3.416880017,0.752535776
BA Stokes ,ENG,82.96602841,63.79821429,43,146.7642427,1.929442521,0.679423462,1.483679402,0.105526343,3.413121923,0.784949805
Sikandar Raza ,ZIM,129.2990993,112.3382353,71,241.6373345,1.821114074,0.616264645,1.582228666,0.157334367,3.40334274,0.773599012
Abdul Razzaq ,PAK,42.9959655,65.13809524,32,108.1340607,1.343623922,0.337873201,2.035565476,0.395656638,3.379189398,0.733529839
JA Morkel ,RSA,94.08349421,65.50833333,48,159.5918275,1.960072796,0.697281854,1.364756944,0.043007991,3.324829741,0.740289845
DM de Silva ,SL,78.52254867,57.64615385,41,136.1687025,1.915184114,0.671110372,1.406003752,0.064691721,3.321187866,0.735802093
MM Ali ,ENG,152.8082863,125.2261905,87,278.0344768,1.756417084,0.57854431,1.4393815,0.082238632,3.195798584,0.660782942
RP Burl ,ZIM,93.65543592,85.20833333,56,178.8637692,1.672418498,0.529570551,1.521577381,0.125449571,3.193995879,0.655020122
RS Bopara ,ENG,70.22419695,44.01136364,36,114.2355606,1.950672137,0.691800981,1.222537879,-0.031757547,3.173210016,0.660043433
AD Russell ,WI,165.4716665,83.76937809,79,249.2410446,2.094578057,0.775702558,1.060371875,-0.117009328,3.154949932,0.65869323
KA Pollard ,WI,232.861981,85.05833333,101,317.9203144,2.305564169,0.89871395,0.842161716,-0.231723906,3.147725885,0.666990044
DJG Sammy ,WI,83.20652134,123.7575302,66,206.9640515,1.260704869,0.289528843,1.875114093,0.311306246,3.135818962,0.600835088
KMA Paul ,WI,12.44770854,56.21587809,22,68.66358663,0.565804934,-0.115619192,2.555267186,0.668867393,3.12107212,0.553248201
GJ Delany ,IRE,62.41856807,76.83722944,45,139.2557975,1.38707929,0.363209017,1.707493987,0.223187206,3.094573278,0.586396223
Gulbadin Naib ,AFG,94.86894424,68.91785714,53,163.7868014,1.78998008,0.598112569,1.300336927,0.009141946,3.090317007,0.607254515
SM Curran ,ENG,39.639754,133.4120047,56,173.0517587,0.70785275,-0.032800946,2.382357226,0.57796744,3.090209976,0.545166494
RA Jadeja ,IND,61.19428426,155.072514,70,216.2667983,0.874204061,0.064186984,2.215321629,0.490155681,3.08952569,0.554342665
JDP Oram ,NZL,59.66487253,40.675,34,100.3398725,1.754849192,0.577630181,1.196323529,-0.045538611,2.951172721,0.53209157
JEC Franklin ,NZL,52.34504431,56.60714286,37,108.9521872,1.414730927,0.379330772,1.52992278,0.129836804,2.944653707,0.509167576
CJ Anderson ,NZL,59.32378596,28.33333333,30,87.6571193,1.977459532,0.707418856,0.944444444,-0.177953174,2.921903977,0.529465682
YK Pathan ,IND,31.24076036,31.9122549,22,63.15301526,1.420034562,0.382422954,1.450557041,0.088113691,2.870591603,0.470536645
I Udana ,SL,26.47197205,73.56235994,35,100.034332,0.756342059,-0.004530188,2.101781713,0.430466968,2.858123771,0.42593678
Faheem Ashraf ,PAK,27.685692,99.61547619,45,127.3011682,0.6152376,-0.086798427,2.213677249,0.489291219,2.828914849,0.402492792
TT Bresnan ,ENG,22.8283703,70.00085639,33,92.82922669,0.691768797,-0.042178385,2.121238072,0.44069531,2.813006869,0.398516925
FA Allen ,WI,33.49151518,75.66060606,39,109.1521212,0.8587568,0.055180756,1.94001554,0.345425381,2.79877234,0.400606137
NLTC Perera ,SL,157.0916586,63.59626623,79,220.6879249,1.988502008,0.713856959,0.805016028,-0.251251649,2.793518036,0.46260531
SPD Smith ,AUS,133.9136595,52.59166667,67,186.5053262,1.998711336,0.719809311,0.784950249,-0.261800366,2.783661585,0.458008945
BMAJ Mendis ,SL,20.71004481,40.425,22,61.13504481,0.941365673,0.10334427,1.8375,0.291532259,2.778865673,0.394876529
Mahmudullah ,BAN,247.0139234,93.84166667,124,340.8555901,1.992047769,0.715924247,0.756787634,-0.276605646,2.748835404,0.439318601
OF Smith ,WI,26.76642157,44.66666667,26,71.43308824,1.029477753,0.154716322,1.717948718,0.22868333,2.747426471,0.383399652
R Ravindra ,NZL,25.34436813,31.51666667,21,56.8610348,1.206874673,0.258144183,1.500793651,0.114523421,2.707668324,0.372667604
PD Collingwood ,ENG,63.27239459,25.6,34,88.87239459,1.860952782,0.639491837,0.752941176,-0.278627755,2.613893958,0.360864082
CR Brathwaite ,WI,32.11790567,72.17005495,40,104.2879606,0.802947642,0.022642301,1.804251374,0.274053228,2.607199015,0.296695528
Mosaddek Hossain ,BAN,22.50812672,53.10151515,30,75.60964187,0.750270891,-0.008069866,1.770050505,0.256073596,2.520321396,0.248003731
CJ Chibhabha ,ZIM,54.01918057,29.99848485,34,84.01766542,1.588799428,0.480818062,0.882308378,-0.21061853,2.471107806,0.270199532
Mashrafe Mortaza ,BAN,35.29740672,76.53405797,47,111.8314647,0.751008654,-0.007639727,1.628384212,0.181598654,2.379392866,0.173958927
LJ Wright ,ENG,63.75662327,45.275,50,109.0316233,1.275132465,0.297940575,0.9055,-0.198426535,2.180632465,0.09951404
GH Dockrell ,IRE,79.23104888,79.25085139,79,158.4819003,1.002924669,0.139235058,1.003175334,-0.147077942,2.006100003,-0.007842884
KJ O'Brien ,IRE,59.71830177,39.875,50,99.59330177,1.194366035,0.250851262,0.7975,-0.255202876,1.991866035,-0.004351614
Samiullah Shinwari ,AFG,39.17887135,24.225,33,63.40387135,1.187238526,0.246695705,0.734090909,-0.28853747,1.921329435,-0.041841765
Fawad Alam ,PAK,16.58281675,18.58333333,22,35.16615009,0.753764398,-0.006033043,0.84469697,-0.230391105,1.598461368,-0.236424149
DT Christian ,AUS,12.75934066,17.74166667,23,30.50100733,0.554753942,-0.12206226,0.771376812,-0.268936016,1.326130753,-0.390998275
