Player,Country,CareerBatImpact,CareerBowlImpact,MatchesPlayed,TotalImpact,BatImpactperGame,BatImpactperGame_Z,BowlImpactperGame,BowlImpactperGame_Z,TotalImpactperGame,TotalImpactperGame_Z
Harbhajan Singh ,IND,13.99805195,102.6583333,26,116.6563853,0.538386613,-0.131604916,3.948397436,1.401245522,4.486784049,1.269640607
DJ Malan ,ENG,276.7569013,0.2,62,276.9569013,4.463820989,2.157044055,0.003225806,-0.672758269,4.467046796,1.484285787
MG Johnson ,AUS,4.045167333,129.8043478,30,133.8495152,0.134838911,-0.366885638,4.326811594,1.600180442,4.461650505,1.233294804
Babar Azam ,PAK,530.3685576,0,119,530.3685576,4.456878635,2.152996449,0,-0.674454097,4.456878635,1.478542352
Yuvraj Singh ,IND,164.3535409,85.16666667,56,249.5202076,2.934884659,1.265627151,1.520833333,0.12505842,4.455717992,1.390685571
IK Pathan ,IND,19.66577381,82.80833333,23,102.4741071,0.855033644,0.053010042,3.600362319,1.218281074,4.455395963,1.271291115
Q de Kock ,RSA,387.3994202,0,87,387.3994202,4.452866899,2.150657484,0,-0.674454097,4.452866899,1.476203387
RR Rossouw ,RSA,124.5667074,0,28,124.5667074,4.44881098,2.148292759,0,-0.674454097,4.44881098,1.473838661
Mohammad Nabi ,AFG,227.0086961,195.5738095,95,422.5825056,2.389565222,0.947689148,2.058671679,0.407803728,4.448236901,1.355492876
Mujeeb Ur Rahman ,AFG,-9.405128205,209.375,45,199.9698718,-0.209002849,-0.567355959,4.652777778,1.771543101,4.443774929,1.204187142
MJ Guptill ,NZL,511.3130664,-1.8,115,509.5130664,4.446200577,2.146770813,-0.015652174,-0.682682553,4.430548403,1.464088261
AK Markram ,RSA,213.7451952,19.15,53,232.8951952,4.032928212,1.905820314,0.361320755,-0.484505298,4.394248967,1.421315016
FH Allen ,NZL,202.1214021,0,46,202.1214021,4.393943524,2.116303344,0,-0.674454097,4.393943524,1.441849247
DW Steyn ,RSA,-13.95,210.6491228,45,196.6991228,-0.31,-0.626240404,4.681091618,1.786427881,4.371091618,1.160187476
JR Hazlewood ,AUS,-5.072619048,222.1363636,50,217.0637446,-0.101452381,-0.504650728,4.442727273,1.661118109,4.341274892,1.156467381
Hasan Ali ,PAK,28.13869048,167.0027344,45,195.1414249,0.625304233,-0.08092927,3.711171877,1.276534418,4.336476109,1.195605148
CH Gayle ,WI,282.2916888,55.875,78,338.1666888,3.619124216,1.664559857,0.716346154,-0.29786601,4.335470369,1.366693847
RD Gaikwad ,IND,95.17496824,0,22,95.17496824,4.32613492,2.076768842,0,-0.674454097,4.32613492,1.402314745
Al-Amin Hossain ,BAN,-3.783333333,115.7201681,26,111.9368347,-0.145512821,-0.53033932,4.450775695,1.66534922,4.305262874,1.1350099
C Munro ,NZL,284.2962172,-6.85,65,277.4462172,4.373787958,2.104552029,-0.105384615,-0.729855513,4.268403342,1.374696516
Mohammad Rizwan ,PAK,425.24991,0,100,425.24991,4.2524991,2.033836894,0,-0.674454097,4.2524991,1.359382797
SW Tait ,AUS,-8.791666667,97.91969697,21,89.1280303,-0.418650794,-0.689587159,4.662842713,1.776834306,4.244191919,1.087247147
DL Chahar ,IND,9.446323529,96.579329,25,106.0256525,0.377852941,-0.225200984,3.86317316,1.356442536,4.241026101,1.131241552
AR Patel ,IND,74.44215164,217.6800725,69,292.1222241,1.078871763,0.183514549,3.154783659,0.984037315,4.233655422,1.167551865
Shaheen Shah Afridi ,PAK,3.245325508,308.4311594,74,311.6764849,0.04385575,-0.419931619,4.167988641,1.516686125,4.211844391,1.096754507
JC Buttler ,ENG,542.6915219,0,129,542.6915219,4.206911022,2.007257643,0,-0.674454097,4.206911022,1.332803546
MR Adair ,IRE,15.76698744,189.9420619,49,205.7090494,0.321775254,-0.257896001,3.876368611,1.363379475,4.198143864,1.105483474
SP Narine ,WI,10.21469511,203.1560606,51,213.3707557,0.200288139,-0.328726725,3.983452169,1.419674036,4.183740308,1.090947311
MJ Santner ,NZL,58.34166974,351.2232114,98,409.5648812,0.595323161,-0.098409158,3.583910321,1.209632145,4.179233481,1.111222988
E Lewis ,WI,245.7103155,0,59,245.7103155,4.164581619,1.982578299,0,-0.674454097,4.164581619,1.308124202
AJ Tye ,AUS,-2.516892829,131.0131752,31,128.4962824,-0.081190091,-0.49283719,4.226231459,1.547304774,4.145041368,1.054467584
AD Hales ,ENG,306.6391277,0,74,306.6391277,4.143771995,1.970445649,0,-0.674454097,4.143771995,1.295991551
Fazalhaq Farooqi ,AFG,-6.033333333,154.5038733,36,148.47054,-0.167592593,-0.543212506,4.291774259,1.581761074,4.124181666,1.038548568
RR Hendricks ,RSA,317.3820834,-8.517647059,75,308.8644363,4.231761112,2.02174601,-0.113568627,-0.734157904,4.118192484,1.287588106
R Ashwin ,IND,25.16317641,229.4601449,62,254.6233213,0.405857684,-0.208873358,3.700970079,1.271171264,4.106827763,1.062297906
PJ Cummins ,AUS,14.8762987,214.7,56,229.5762987,0.265648191,-0.290619804,3.833928571,1.341068455,4.099576763,1.050448651
ST Finn ,ENG,-2.783333333,88.45,21,85.66666667,-0.132539683,-0.522775581,4.211904762,1.539773131,4.079365079,1.01699755
